student_id,classroom_id,school_id
25219,1,99
25220,1,99
25221,1,99
25222,1,99
25223,1,99
25224,1,99
25225,1,99
25226,1,99
25227,1,99
25228,1,99
25229,2,99
25230,2,99
25231,2,99
25232,2,99
25233,2,99
25234,2,99
25235,2,99
25236,2,99
25237,2,99
25238,2,99
25525,11,101
25526,11,101
25527,11,101
25528,11,101
25529,11,101
25530,11,101
25531,11,101
25532,11,101
25533,11,101
25534,11,101
25535,11,101
25536,11,101
25537,11,101
25538,11,101
25539,11,101
25540,11,101
25541,11,101
25542,11,101
25543,11,101
25544,11,101
25545,11,101
25546,11,101
25547,11,101
25548,11,101
25549,11,101
25550,11,101
25551,11,101
25552,11,101
25553,11,101
25554,11,101
25555,11,101
25556,11,101
25557,11,101
25558,11,101
25559,11,101
25560,11,101
25561,11,101
25562,11,101
25563,11,101
25564,12,101
25565,12,101
25566,12,101
25567,12,101
25568,12,101
25569,12,101
25570,12,101
25571,12,101
25572,12,101
25573,12,101
25574,12,101
25575,12,101
25576,12,101
25577,12,101
25578,12,101
25579,12,101
25580,12,101
25581,12,101
25582,12,101
25583,12,101
25584,12,101
25585,12,101
25586,12,101
25587,12,101
25588,12,101
25589,12,101
25590,12,101
25591,12,101
25592,12,101
25593,12,101
25594,12,101
25595,12,101
25596,12,101
25597,12,101
25598,12,101
25599,12,101
25600,12,101
25601,12,101
25602,12,101
25603,9,101
25604,9,101
25605,9,101
25606,9,101
25607,9,101
25608,9,101
25609,9,101
25610,9,101
25611,9,101
25612,9,101
25613,9,101
25614,9,101
25615,9,101
25616,9,101
25617,9,101
25618,9,101
25619,9,101
25620,9,101
25621,9,101
25622,9,101
25623,9,101
25624,9,101
25625,9,101
25626,9,101
25627,9,101
25628,9,101
25629,9,101
25630,9,101
25631,9,101
25632,9,101
25633,9,101
25634,9,101
25635,9,101
25636,9,101
25637,9,101
25638,9,101
25639,9,101
25640,9,101
25641,9,101
25642,9,101
25643,9,101
25644,9,101
25645,9,101
25646,9,101
25647,10,101
25648,10,101
25649,10,101
25650,10,101
25651,10,101
25652,10,101
25653,10,101
25654,10,101
25655,10,101
25656,10,101
25657,10,101
25658,10,101
25659,10,101
25660,10,101
25661,10,101
25662,10,101
25663,10,101
25664,10,101
25665,10,101
25666,10,101
25667,10,101
25668,10,101
25669,10,101
25670,10,101
25671,10,101
25672,10,101
25673,10,101
25674,10,101
25675,10,101
25676,10,101
25677,10,101
25678,10,101
25679,10,101
25680,10,101
25681,10,101
25682,10,101
25683,10,101
25684,10,101
25685,10,101
25686,10,101
25687,10,101
25688,10,101
25689,10,101
25690,10,101
25691,13,101
25692,13,101
25693,13,101
25694,13,101
25695,13,101
25696,13,101
25697,13,101
25698,13,101
25699,13,101
25700,13,101
25701,13,101
25702,13,101
25703,13,101
25704,13,101
25705,13,101
25706,13,101
25707,13,101
25708,13,101
25709,13,101
25710,13,101
25711,13,101
25712,13,101
25713,13,101
25714,13,101
25715,13,101
25716,13,101
25717,13,101
25718,13,101
25719,13,101
25720,13,101
25721,13,101
25722,13,101
25723,13,101
25724,13,101
25725,13,101
25726,13,101
25727,13,101
25728,14,101
25729,14,101
25730,14,101
25731,14,101
25732,14,101
25733,14,101
25734,14,101
25735,14,101
25736,14,101
25737,14,101
25738,14,101
25739,14,101
25740,14,101
25741,14,101
25742,14,101
25743,14,101
25744,14,101
25745,14,101
25746,14,101
25747,14,101
25748,14,101
25749,14,101
25750,14,101
25751,14,101
25752,14,101
25753,14,101
25754,14,101
25755,14,101
25756,14,101
25757,14,101
25758,14,101
25759,14,101
25760,14,101
25761,14,101
25762,14,101
25763,14,101
25764,14,101
25765,14,101
25782,15,102
25783,15,102
25784,15,102
25785,15,102
25786,15,102
25787,15,102
25788,15,102
25789,15,102
25790,15,102
25791,15,102
25792,15,102
25793,15,102
25794,15,102
25795,15,102
25796,15,102
25797,15,102
25798,15,102
25799,15,102
25800,15,102
25801,15,102
25802,15,102
25803,15,102
25804,15,102
25805,15,102
25806,15,102
25807,15,102
25808,15,102
25809,15,102
25810,15,102
25811,15,102
25812,15,102
25813,15,102
25814,15,102
25815,15,102
25816,15,102
25817,15,102
25818,15,102
25819,15,102
25820,15,102
25821,15,102
25822,15,102
25823,15,102
25824,15,102
25825,16,102
25826,16,102
25827,16,102
25828,16,102
25829,16,102
25830,16,102
25831,16,102
25832,16,102
25833,16,102
25834,16,102
25835,16,102
25836,16,102
25837,16,102
25838,16,102
25839,16,102
25840,16,102
25841,16,102
25842,16,102
25843,16,102
25844,16,102
25845,16,102
25846,16,102
25847,16,102
25848,16,102
25849,16,102
25850,16,102
25851,16,102
25852,17,102
25853,17,102
25854,17,102
25855,17,102
25856,17,102
25857,17,102
25858,17,102
25859,17,102
25860,17,102
25861,17,102
25862,17,102
25863,17,102
25864,17,102
25865,17,102
25866,17,102
25867,17,102
25868,17,102
25869,17,102
25870,17,102
25871,17,102
25872,17,102
25873,17,102
25874,17,102
25875,17,102
25876,18,102
25877,18,102
25878,18,102
25879,18,102
25880,18,102
25881,18,102
25882,18,102
25883,18,102
25884,18,102
25885,18,102
25886,18,102
25887,18,102
25888,18,102
25889,18,102
25890,18,102
25891,18,102
25892,18,102
25893,18,102
25894,18,102
25895,18,102
25896,18,102
25897,18,102
25898,18,102
25914,19,103
25915,19,103
25916,19,103
25917,19,103
25918,19,103
25919,19,103
25920,19,103
25921,19,103
25922,19,103
25923,19,103
25924,19,103
25925,19,103
25926,19,103
25927,19,103
25928,19,103
25929,19,103
25930,19,103
25931,19,103
25932,19,103
25933,19,103
25934,19,103
25935,19,103
25936,19,103
25937,19,103
25938,19,103
25939,19,103
25940,19,103
25941,19,103
25942,19,103
25943,19,103
25944,19,103
25945,19,103
25946,19,103
25947,19,103
25948,19,103
25949,19,103
25950,19,103
25951,19,103
25952,19,103
25953,20,103
25954,20,103
25955,20,103
25956,20,103
25957,20,103
25958,20,103
25959,20,103
25960,20,103
25961,20,103
25962,20,103
25963,20,103
25964,20,103
25965,20,103
25966,20,103
25967,20,103
25968,20,103
25969,20,103
25970,20,103
25971,20,103
25972,20,103
25973,20,103
25974,20,103
25975,20,103
25976,21,103
25977,21,103
25978,21,103
25979,21,103
25980,21,103
25981,21,103
25982,21,103
25983,21,103
25984,21,103
25985,21,103
25986,21,103
25987,21,103
25988,21,103
25989,21,103
25990,21,103
25991,21,103
25992,21,103
25993,21,103
25994,21,103
25995,21,103
25996,21,103
27648,62,109
27649,62,109
27650,62,109
27651,62,109
27652,62,109
27653,62,109
27654,62,109
27655,62,109
27656,62,109
27657,62,109
27658,62,109
27659,62,109
27660,62,109
27661,62,109
27662,62,109
27663,62,109
27664,62,109
27665,62,109
27666,62,109
27667,62,109
27668,62,109
27669,62,109
27670,62,109
27671,62,109
27672,62,109
27673,62,109
27674,62,109
27675,62,109
27676,62,109
27677,62,109
27678,62,109
27679,62,109
27680,62,109
27681,62,109
27682,62,109
27683,62,109
27684,62,109
27685,62,109
27686,63,109
27687,63,109
27688,63,109
27689,63,109
27690,63,109
27691,63,109
27692,63,109
27693,63,109
27694,63,109
27695,63,109
27696,63,109
27697,63,109
27698,63,109
27699,63,109
27700,63,109
27701,63,109
27702,63,109
27703,63,109
27704,63,109
27705,63,109
27706,63,109
27707,63,109
27708,63,109
27709,63,109
27710,63,109
27711,63,109
27712,63,109
27713,63,109
27714,63,109
27715,63,109
27716,63,109
27717,63,109
27718,63,109
27719,63,109
27720,64,109
27721,64,109
27722,64,109
27723,64,109
27724,64,109
27725,64,109
27726,64,109
27727,64,109
27728,64,109
27729,64,109
27730,64,109
27731,64,109
27732,64,109
27733,64,109
27734,64,109
27735,64,109
27736,64,109
27737,64,109
27738,64,109
27739,64,109
27740,64,109
27741,64,109
27742,64,109
27743,64,109
27744,64,109
27745,64,109
27746,64,109
27747,64,109
27748,64,109
27749,64,109
27750,65,109
27751,65,109
27752,65,109
27753,65,109
27754,65,109
27755,65,109
27756,65,109
27757,65,109
27758,65,109
27759,65,109
27760,65,109
27761,65,109
27762,65,109
27763,65,109
27764,65,109
27765,65,109
27766,65,109
27767,65,109
27768,65,109
27769,65,109
27770,65,109
27771,65,109
27772,65,109
27773,65,109
27774,65,109
27775,65,109
27776,65,109
27777,65,109
27778,65,109
27779,65,109
27780,65,109
27781,65,109
27782,65,109
27783,65,109
27784,66,109
27785,66,109
27786,66,109
27787,66,109
27788,66,109
27789,66,109
27790,66,109
27791,66,109
27792,66,109
27793,66,109
27794,66,109
27795,66,109
27796,66,109
27797,66,109
27798,66,109
27799,66,109
27800,66,109
27801,66,109
27802,66,109
27803,66,109
27804,66,109
27805,66,109
27806,66,109
27807,66,109
27808,66,109
27809,66,109
27810,66,109
27811,66,109
27812,66,109
27813,66,109
27814,66,109
27815,66,109
27816,66,109
27817,66,109
27818,66,109
27819,66,109
27820,66,109
27821,66,109
27822,66,109
27823,66,109
27824,66,109
27825,66,109
27826,66,109
27827,67,109
27828,67,109
27829,67,109
27830,67,109
27831,67,109
27832,67,109
27833,67,109
27834,67,109
27835,67,109
27836,67,109
27837,67,109
27838,67,109
27839,67,109
27840,67,109
27841,67,109
27842,67,109
27843,67,109
27844,67,109
27845,67,109
27846,67,109
27847,67,109
27848,67,109
27849,67,109
27850,67,109
27851,67,109
27852,67,109
27853,67,109
27854,67,109
27855,67,109
27856,67,109
27857,67,109
27858,67,109
27859,67,109
27860,67,109
27861,67,109
27862,67,109
27863,67,109
27864,67,109
27865,67,109
27866,67,109
27867,67,109
27868,67,109
27869,67,109
27870,67,109
27871,67,109
28006,78,111
28007,78,111
28008,78,111
28009,78,111
28010,78,111
28011,78,111
28012,78,111
28013,78,111
28014,78,111
28015,78,111
28016,78,111
28017,78,111
28018,78,111
28019,78,111
28020,78,111
28021,78,111
28022,78,111
28023,78,111
28024,78,111
28025,78,111
28026,78,111
28027,78,111
28028,78,111
28029,78,111
28030,78,111
28031,78,111
28032,78,111
28033,78,111
28034,78,111
28035,78,111
28036,78,111
28037,78,111
28038,78,111
28039,78,111
28040,78,111
28041,78,111
28042,78,111
28043,78,111
28044,78,111
28045,78,111
28046,78,111
28047,78,111
28048,78,111
28049,78,111
28050,78,111
28051,78,111
28052,78,111
28053,79,111
28054,79,111
28055,79,111
28056,79,111
28057,79,111
28058,79,111
28059,79,111
28060,79,111
28061,79,111
28062,79,111
28063,79,111
28064,79,111
28065,79,111
28066,79,111
28067,79,111
28068,79,111
28069,79,111
28070,79,111
28071,79,111
28072,79,111
28073,79,111
28074,79,111
28075,79,111
28076,79,111
28077,79,111
28078,79,111
28079,79,111
28080,79,111
28081,79,111
28082,79,111
28083,79,111
28084,79,111
28085,79,111
28086,79,111
28087,79,111
28088,79,111
28089,79,111
28090,79,111
28091,79,111
28092,79,111
28093,79,111
28094,79,111
28095,79,111
28096,79,111
28097,80,111
28098,80,111
28099,80,111
28100,80,111
28101,80,111
28102,80,111
28103,80,111
28104,80,111
28105,80,111
28106,80,111
28107,80,111
28108,80,111
28109,80,111
28110,80,111
28111,80,111
28112,80,111
28113,80,111
28114,80,111
28115,80,111
28116,80,111
28117,80,111
28118,80,111
28119,80,111
28120,80,111
28121,80,111
28122,80,111
28123,80,111
28124,80,111
28125,80,111
28126,80,111
28127,80,111
28128,80,111
28129,80,111
28130,80,111
28131,80,111
28132,80,111
28133,80,111
28134,80,111
28135,80,111
28136,80,111
28137,80,111
28138,80,111
28139,81,111
28140,81,111
28141,81,111
28142,81,111
28143,81,111
28144,81,111
28145,81,111
28146,81,111
28147,81,111
28148,81,111
28149,81,111
28150,81,111
28151,81,111
28152,81,111
28153,81,111
28154,81,111
28155,81,111
28156,81,111
28157,81,111
28158,81,111
28159,81,111
28160,81,111
28161,81,111
28162,81,111
28163,81,111
28164,81,111
28165,81,111
28166,81,111
28167,81,111
28168,81,111
28169,81,111
28170,81,111
28171,81,111
28172,81,111
28173,81,111
28174,81,111
28175,81,111
28176,81,111
28177,81,111
28178,81,111
28179,81,111
28180,81,111
28181,82,111
28182,82,111
28183,82,111
28184,82,111
28185,82,111
28186,82,111
28187,82,111
28188,82,111
28189,82,111
28190,82,111
28191,82,111
28192,82,111
28193,82,111
28194,82,111
28195,82,111
28196,82,111
28197,82,111
28198,82,111
28199,82,111
28200,82,111
28201,82,111
28202,82,111
28203,82,111
28204,82,111
28205,82,111
28206,82,111
28207,82,111
28208,82,111
28209,82,111
28210,82,111
28211,82,111
28212,82,111
28213,82,111
28214,82,111
28215,82,111
28216,82,111
28217,82,111
28218,82,111
28219,82,111
28220,83,111
28221,83,111
28222,83,111
28223,83,111
28224,83,111
28225,83,111
28226,83,111
28227,83,111
28228,83,111
28229,83,111
28230,83,111
28231,83,111
28232,83,111
28233,83,111
28234,83,111
28235,83,111
28236,83,111
28237,83,111
28238,83,111
28239,83,111
28240,83,111
28241,83,111
28242,83,111
28243,83,111
28244,83,111
28245,83,111
28246,83,111
28247,83,111
28248,83,111
28249,83,111
28250,83,111
28251,83,111
28252,83,111
28253,83,111
28254,83,111
28255,83,111
28256,83,111
28257,83,111
28258,83,111
28259,83,111
28260,83,111
28261,83,111
28262,83,111
28263,83,111
28264,84,111
28265,84,111
28266,84,111
28267,84,111
28268,84,111
28269,84,111
28270,84,111
28271,84,111
28272,84,111
28273,84,111
28274,84,111
28275,84,111
28276,84,111
28277,84,111
28278,84,111
28279,84,111
28280,84,111
28281,84,111
28282,84,111
28283,84,111
28284,84,111
28285,84,111
28286,84,111
28287,84,111
28288,84,111
28289,84,111
28290,84,111
28291,84,111
28292,84,111
28293,84,111
28294,84,111
28295,84,111
28296,84,111
28297,84,111
28298,84,111
28299,84,111
28300,84,111
28301,84,111
28302,84,111
28303,84,111
28304,84,111
28305,84,111
28306,84,111
28307,84,111
28308,84,111
28309,84,111
28310,84,111
28311,85,111
28312,85,111
28313,85,111
28314,85,111
28315,85,111
28316,85,111
28317,85,111
28318,85,111
28319,85,111
28320,85,111
