currentPoints,avatar_id,user_id
0,NULL,27798
0,NULL,27799
10,82,27800
0,NULL,27801
180,72,27802
0,NULL,27803
0,NULL,27804
0,NULL,27805
0,NULL,27806
0,NULL,27807
10,72,27808
40,72,27809
0,NULL,27810
20,62,27811
0,NULL,27812
0,NULL,27813
0,NULL,27814
0,NULL,27815
0,NULL,27816
1867,72,27817
0,NULL,27818
0,NULL,27819
0,77,27820
0,NULL,27821
0,82,27822
0,NULL,27823
0,67,27824
0,57,27825
0,NULL,27826
0,57,27827
0,NULL,27828
0,NULL,27829
0,NULL,27830
0,NULL,27831
160,77,27832
839,77,27833
10,77,27834
0,NULL,27835
0,NULL,27836
0,NULL,27837
0,62,27838
0,NULL,27839
0,NULL,27840
0,77,27841
0,NULL,27842
0,NULL,27843
0,NULL,27844
0,NULL,27845
0,NULL,27846
0,82,27847
0,NULL,27848
0,NULL,27849
0,NULL,27850
0,77,27851
190,57,27852
0,NULL,27853
0,NULL,27854
10,57,27855
0,NULL,27856
0,NULL,27857
0,NULL,27858
0,NULL,27859
0,NULL,27860
0,NULL,27861
20,67,27862
0,57,27863
0,NULL,27864
0,NULL,27865
0,NULL,27866
0,NULL,27867
0,NULL,27868
20,82,27869
0,82,27870
0,NULL,27871
9208,58,28006
0,NULL,28007
0,NULL,28008
450,57,28009
0,77,28010
4078,82,28011
712,72,28012
0,57,28013
3968,57,28014
512,77,28015
799,57,28016
5552,67,28017
5268,67,28018
0,77,28019
0,NULL,28020
6153,82,28021
1051,77,28022
0,NULL,28023
0,72,28024
2517,72,28025
695,77,28026
0,NULL,28027
0,62,28028
674,77,28029
450,77,28030
0,77,28031
8827,83,28032
0,67,28033
450,77,28034
7234,72,28035
0,NULL,28036
2891,82,28037
0,NULL,28038
0,NULL,28039
1258,82,28040
0,57,28041
0,NULL,28042
0,72,28043
0,NULL,28044
801,72,28045
160,77,28046
347,82,28047
450,77,28048
726,72,28049
0,NULL,28050
130,57,28051
0,77,28052
0,NULL,28053
423,82,28054
0,NULL,28055
0,67,28056
0,57,28057
0,NULL,28058
30,57,28059
0,NULL,28060
0,NULL,28061
0,72,28062
150,77,28063
3216,82,28064
70,57,28065
0,72,28066
0,NULL,28067
0,NULL,28068
0,NULL,28069
190,57,28070
10,57,28071
0,NULL,28072
0,57,28073
11340,73,28074
0,NULL,28075
5317,72,28076
5076,82,28077
1101,72,28078
0,72,28079
150,72,28080
0,NULL,28081
4041,62,28082
0,NULL,28083
0,NULL,28084
0,NULL,28085
0,NULL,28086
10,67,28087
262,57,28088
0,NULL,28089
280,82,28090
10,82,28091
8684,58,28092
0,NULL,28093
20,72,28094
0,77,28095
0,NULL,28096
0,57,28097
0,57,28098
0,NULL,28099
450,82,28100
0,NULL,28101
397,77,28102
354,82,28103
0,77,28104
0,NULL,28105
0,NULL,28106
280,72,28107
0,NULL,28108
0,NULL,28109
0,NULL,28110
0,NULL,28111
547,72,28112
272,77,28113
0,NULL,28114
3648,67,28115
0,NULL,28116
1777,62,28117
0,NULL,28118
7688,63,28119
3561,82,28120
132,77,28121
0,NULL,28122
530,77,28123
1459,72,28124
3906,72,28125
0,NULL,28126
0,NULL,28127
130,77,28128
185,72,28129
0,NULL,28130
1515,82,28131
0,NULL,28132
0,57,28133
20,72,28134
2475,77,28135
642,62,28136
1175,72,28137
0,NULL,28138
0,NULL,28139
10,62,28140
0,NULL,28141
30,57,28142
0,72,28143
780,62,28144
0,77,28145
0,NULL,28146
0,NULL,28147
0,72,28148
602,72,28149
290,77,28150
30,62,28151
0,57,28152
1370,82,28153
580,77,28154
1050,67,28155
2800,77,28156
0,NULL,28157
0,NULL,28158
0,NULL,28159
0,NULL,28160
0,NULL,28161
1432,72,28162
300,82,28163
0,NULL,28164
60,57,28165
0,82,28166
132,57,28167
0,NULL,28168
2266,77,28169
10,57,28170
0,NULL,28171
0,NULL,28172
0,57,28173
1167,67,28174
888,82,28175
0,NULL,28176
0,NULL,28177
0,NULL,28178
195,77,28179
0,NULL,28180
274,72,28181
0,NULL,28182
20,57,28183
30,57,28184
130,57,28185
0,77,28186
0,82,28187
2026,57,28188
0,82,28189
10,57,28190
0,NULL,28191
2458,72,28192
0,NULL,28193
1506,72,28194
0,NULL,28195
0,NULL,28196
450,62,28197
0,82,28198
0,82,28199
1135,82,28200
0,NULL,28201
0,NULL,28202
0,67,28203
0,67,28204
480,82,28205
13190,83,28206
1938,72,28207
0,72,28208
284,82,28209
420,67,28210
0,NULL,28211
0,NULL,28212
0,NULL,28213
0,72,28214
0,NULL,28215
140,67,28216
0,NULL,28217
0,67,28218
10,62,28219
0,NULL,28220
0,NULL,28221
0,NULL,28222
0,62,28223
0,NULL,28224
0,62,28225
0,NULL,28226
0,NULL,28227
0,NULL,28228
10,67,28229
1282,57,28230
0,72,28231
140,62,28232
0,NULL,28233
0,NULL,28234
898,82,28235
0,57,28236
0,NULL,28237
0,82,28238
0,NULL,28239
0,NULL,28240
0,NULL,28241
185,57,28242
0,NULL,28243
0,NULL,28244
0,67,28245
10,62,28246
0,NULL,28247
0,NULL,28248
756,77,28249
0,NULL,28250
0,NULL,28251
0,NULL,28252
0,NULL,28253
0,NULL,28254
0,NULL,28255
10,82,28256
400,57,28257
275,62,28258
0,NULL,28259
2983,62,28260
0,NULL,28261
0,NULL,28262
0,NULL,28263
1505,82,28264
0,NULL,28265
1525,82,28266
0,NULL,28267
0,NULL,28268
0,57,28269
0,72,28270
1135,72,28271
0,NULL,28272
0,NULL,28273
0,NULL,28274
0,NULL,28275
0,NULL,28276
0,57,28277
4622,72,28278
0,NULL,28279
0,NULL,28280
0,NULL,28281
0,NULL,28282
150,62,28283
0,57,28284
0,NULL,28285
0,NULL,28286
0,82,28287
0,NULL,28288
0,57,28289
0,NULL,28290
2957,82,28291
0,72,28292
0,NULL,28293
0,57,28294
0,NULL,28295
0,67,28296
0,NULL,28297
0,NULL,28298
0,57,28299
0,NULL,28300
0,NULL,28301
0,NULL,28302
0,NULL,28303
0,77,28304
690,82,28305
0,NULL,28306
0,NULL,28307
0,NULL,28308
0,NULL,28309
0,NULL,28310
747,77,28311
0,62,28312
440,77,28313
155,57,28314
285,57,28315
0,72,28316
0,NULL,28317
0,NULL,28318
0,82,28319
0,NULL,28320
